Model,Size (B),Task,Benchmark,Score,Timestamp,Status
google/gemma-2b,2.0,READING COMPREHENSION,SQuAD,10.256410256410255,2025-09-14T14:13:25.300292,Completed
google/gemma-2b,2.0,READING COMPREHENSION,BoolQ,80.0,2025-09-14T14:16:41.148003,Completed
google/gemma-2b,2.0,READING COMPREHENSION,QuAC,8.443313396690582,2025-09-14T14:22:05.758925,Completed
google/gemma-2b,2.0,MATH,GSM8K,20.0,2025-09-15T16:40:14.014019,Completed
google/gemma-2b,2.0,COMMONSENSE REASONING,WinoGrande,44.936708860759495,2025-09-15T16:57:24.108732,Completed
google/gemma-2b,2.0,INDIC BENCHMARKS,TriviaQA-IN,34.0,2025-09-16T00:47:55.271310,Completed
google/gemma-2b,2.0,INDIC BENCHMARKS,Flores-IN,0.0,2025-09-16T13:33:21.708515,Completed
google/gemma-2b,2.0,CODE GENERATION,HumanEval,80.0,2025-09-16T16:19:52.760669,Completed
google/gemma-2b,2.0,CODE GENERATION,MBPP,0.0,2025-09-16T16:24:39.651600,Completed
google/gemma-2b,2.0,COMMONSENSE REASONING,OpenBookQA,50.0,2025-09-16T16:40:52.241476,Completed
google/gemma-2b,2.0,COMMONSENSE REASONING,SIQA,50.0,2025-09-16T16:47:27.971941,Completed
google/gemma-2b,2.0,General,AGIEval,0.0,2025-09-16T17:08:03.716019,Completed
google/gemma-2b,2.0,General,MMLU,50.0,2025-09-16T17:08:08.772405,Completed
google/gemma-2b,2.0,General,BBH,0.0,2025-09-16T17:09:18.520434,Completed
google/gemma-2b,2.0,LONG CONTEXT,ZeroSCROLLS,0.0,2025-09-16T17:26:34.910426,Completed
google/gemma-2-9b-it,5.08,COMMONSENSE REASONING,WinoGrande,68.8783570300158,2025-10-31T19:58:26.181322,Completed
google/gemma-3-1b-pt,0.65,COMMONSENSE REASONING,PIQA,0.0,2025-11-02T21:11:36.702637,Completed
google/gemma-3-1b-pt,0.65,General,MMLU,25.84045584045584,2025-11-02T21:50:08.598100,Completed
google/gemma-3-1b-pt,0.65,General,CNN_DailyMail,,2025-11-03T02:08:48.890183,Completed
google/gemma-3-1b-pt,0.65,General,WMT14_EN_FR,,2025-11-03T04:26:52.467028,Completed
google/gemma-2-2b-it,1.6,READING COMPREHENSION,QuAC,0.0,2025-11-08T19:56:59.342683,Completed
google/gemma-2-2b-it,1.6,READING COMPREHENSION,BoolQ,68.80733944954129,2025-11-08T20:20:43.653581,Completed
google/gemma-2-2b-it,1.6,READING COMPREHENSION,SQuAD,50.20749820977554,2025-11-09T01:56:39.892933,Completed
google/gemma-2b,2.0,COMMONSENSE REASONING,PIQA,51.85185185185185,2025-11-16T12:49:32.679185,Completed
google/gemma-2-2b,1.6,COMMONSENSE REASONING,PIQA,77.63873775843308,2025-11-18T01:53:32.549505,Completed
google/gemma-2-2b,1.6,COMMONSENSE REASONING,WinoGrande,68.9873417721519,2025-11-18T02:54:43.829457,Completed
sarvamai/sarvam-1,1.4,INDIC BENCHMARKS,ARC-Challenge-Indic,43.197278911564624,2025-11-18T09:15:46.514868,Completed
sarvamai/sarvam-1,1.40,INDIC BENCHMARKS,MILU,32.39415398523429,2025-11-19T03:12:07.400239,Completed
